id;titulo;temas;fontes;tags;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
405;ShapeFile dos Setores censitários do município São Vicente / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;São Vicente / SP / Sudeste;Sao_Vicente.zip;2000;
406;ShapeFile dos Setores censitários do município Sapiranga / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Sapiranga / RS / Sul;Sapiranga.zip;2000;
407;ShapeFile dos Setores censitários do município Sapucaia do Sul / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Sapucaia do Sul / RS / Sul;Sapucaia_do_Sul.zip;2000;
408;ShapeFile dos Setores censitários do município Sarzedo / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Sarzedo / MG / Sudeste;Sarzedo.zip;2000;
409;ShapeFile dos Setores censitários do município Satuba / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Satuba / AL / Nordeste;Satuba.zip;2000;
410;ShapeFile dos Setores censitários do município Senador Canedo / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Senador Canedo / GO / Centro-Oeste;Senador_Canedo.zip;2000;
411;ShapeFile dos Setores censitários do município Seropédica / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Seropédica / RJ / Sudeste;Seropedica.zip;2000;
412;ShapeFile dos Setores censitários do município Serra / ES / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Serra / ES / Sudeste;Serra.zip;2000;
413;ShapeFile dos Setores censitários do município Sete Lagoas / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Sete Lagoas / MG / Sudeste;Sete_Lagoas.zip;2000;
414;ShapeFile dos Setores censitários do município Silva Jardim / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Silva Jardim / RJ / Sudeste;Silva_Jardim.zip;2000;
415;ShapeFile dos Setores censitários do município Simões Filho / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Simões Filho / BA / Nordeste;Simoes_Filho.zip;2000;
416;ShapeFile dos Setores censitários do município Sobral / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Sobral / CE / Nordeste;Sobral.zip;2000;
417;ShapeFile dos Setores censitários do município Sorocaba / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Sorocaba / SP / Sudeste;Sorocaba.zip;2000;
418;ShapeFile dos Setores censitários do município Sumaré / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Sumaré / SP / Sudeste;Sumare.zip;2000;
419;ShapeFile dos Setores censitários do município Suzano / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Suzano / SP / Sudeste;Suzano.zip;2000;
420;ShapeFile dos Setores censitários do município Taboão da Serra / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Taboão da Serra / SP / Sudeste;Taboao_da_Serra.zip;2000;
421;ShapeFile dos Setores censitários do município Tanguá / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Tanguá / RJ / Sudeste;Tangua.zip;2000;
422;ShapeFile dos Setores censitários do município Taquara / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Taquara / RS / Sul;Taquara.zip;2000;
423;ShapeFile dos Setores censitários do município Taquaraçu de Minas / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Taquaraçu de Minas / MG / Sudeste;Taquaracu_de_Minas.zip;2000;
424;ShapeFile dos Setores censitários do município Taubaté / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Taubaté / SP / Sudeste;Taubate.zip;2000;
425;ShapeFile dos Setores censitários do município Teresina / PI / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Teresina / PI / Nordeste;Teresina.zip;2000;
426;ShapeFile dos Setores censitários do município Teresópolis / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Teresópolis / RJ / Sudeste;Teresopolis.zip;2000;
427;ShapeFile dos Setores censitários do município Timon / MA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Timon / MA / Nordeste;Timon.zip;2000;
428;ShapeFile dos Setores censitários do município Timóteo / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Timóteo / MG / Sudeste;Timoteo.zip;2000;
429;ShapeFile dos Setores censitários do município Trindade / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Trindade / GO / Centro-Oeste;Trindade.zip;2000;
430;ShapeFile dos Setores censitários do município Triunfo / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Triunfo / RS / Sul;Triunfo.zip;2000;
431;ShapeFile dos Setores censitários do município Uberaba / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Uberaba / MG / Sudeste;Uberaba.zip;2000;
432;ShapeFile dos Setores censitários do município Uberlândia / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Uberlândia / MG / Sudeste;Uberlandia.zip;2000;
433;ShapeFile dos Setores censitários do município Unaí / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Unaí / MG / Sudeste;Unai.zip;2000;
434;ShapeFile dos Setores censitários do município União / PI / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;União / PI / Nordeste;Uniao.zip;2000;
435;ShapeFile dos Setores censitários do município Valinhos / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Valinhos / SP / Sudeste;Valinhos.zip;2000;
436;ShapeFile dos Setores censitários do município Valparaíso de Goiás / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Valparaíso de Goiás / GO / Centro-Oeste;Valparaiso_de_Goias.zip;2000;
437;ShapeFile dos Setores censitários do município Vargem Grande Paulista / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Vargem Grande Paulista / SP / Sudeste;Vargem_Grande_Paulista.zip;2000;
438;ShapeFile dos Setores censitários do município Várzea Grande / MT / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Várzea Grande / MT / Centro-Oeste;Varzea_Grande.zip;2000;
439;ShapeFile dos Setores censitários do município Vera Cruz / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Vera Cruz / BA / Nordeste;Vera_Cruz.zip;2000;
440;ShapeFile dos Setores censitários do município Vespasiano / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Vespasiano / MG / Sudeste;Vespasiano.zip;2000;
441;ShapeFile dos Setores censitários do município Viamão / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Viamão / RS / Sul;Viamao.zip;2000;
442;ShapeFile dos Setores censitários do município Viana / ES / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Viana / ES / Sudeste;Viana.zip;2000;
443;ShapeFile dos Setores censitários do município Vila Velha / ES / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Vila Velha / ES / Sudeste;Vila_Velha.zip;2000;
444;ShapeFile dos Setores censitários do município Vinhedo / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Vinhedo / SP / Sudeste;Vinhedo.zip;2000;
445;ShapeFile dos Setores censitários do município Vitória / ES / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Vitória / ES / Sudeste;Vitoria.zip;2000;
446;ShapeFile dos Setores censitários do município Vitória da Conquista / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Vitória da Conquista / BA / Nordeste;Vitoria_da_Conquista.zip;2000;
447;ShapeFile dos Setores censitários do município Volta Redonda / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Volta Redonda / RJ / Sudeste;Volta_Redonda.zip;2000;
448;ShapeFile dos Setores censitários da Região Metropolitana da Baixada Santista - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Baixada Santista;RmBXSsc.zip;2000;
449;ShapeFile dos Setores censitários da Região Metropolitana de Belém - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Belém;RmBELsc.zip;2000;
450;ShapeFile dos Setores censitários da Região Metropolitana de Belo Horizonte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Belo Horizonte;RmBHZsc.zip;2000;
451;ShapeFile dos Setores censitários da Região Metropolitana de Campinas - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Campinas;RmCAMsc.zip;2000;
452;ShapeFile dos Setores censitários da Região Metropolitana de Curitiba - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Curitiba;RmCURsc.zip;2000;
453;ShapeFile dos Setores censitários da Região Metropolitana do Distrito Federal e Entorno - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Distrito Federal e Entorno;RmDFEsc.zip;2000;
454;ShapeFile dos Setores censitários da Região Metropolitana de Fortaleza - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Fortaleza;RmFORsc.zip;2000;
455;ShapeFile dos Setores censitários da Região Metropolitana de Goiânia - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Goiânia;RmGOIsc.zip;2000;
456;ShapeFile dos Setores censitários da Região Metropolitana de João Pessoa - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;João Pessoa;RmJPSsc.zip;2000;
457;ShapeFile dos Setores censitários da Região Metropolitana de Maceió - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Maceió;RmMCEsc.zip;2000;
458;ShapeFile dos Setores censitários da Região Metropolitana de Natal - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Natal;RmNATsc.zip;2000;
459;ShapeFile dos Setores censitários da Região Metropolitana de Porto Alegre - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Porto Alegre;RmPOAsc.zip;2000;
460;ShapeFile dos Setores censitários da Região Metropolitana de Recife - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Recife;RmRECsc.zip;2000;
461;ShapeFile dos Setores censitários da Região Metropolitana de Rio de Janeiro - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Rio de Janeiro;RmRIOsc.zip;2000;
462;ShapeFile dos Setores censitários da Região Metropolitana de Salvador - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Salvador;RmSSAsc.zip;2000;
463;ShapeFile dos Setores censitários da Região Metropolitana de Sao Luís - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Sao Luís;RmSLUsc.zip;2000;
464;ShapeFile dos Setores censitários da Região Metropolitana de São Paulo - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;São Paulo;RmSAOsc.zip;2000;
465;ShapeFile dos Setores censitários da Região Metropolitana de Vitória - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Regiões Metropolitanas divididas em Setores Censitários - ano 2000;;cartográfico;Vitória;RmVITsc.zip;2000;
466;ShapeFile da Região Metropolitana da Baixada Santista divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Baixada Santista;CemRmBxs.zip;2000;
467;ShapeFile da Região Metropolitana de Belém divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Belém;CemRmBel.zip;2000;
468;ShapeFile da Região Metropolitana de Belo Horizonte divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Belo Horizonte;CemRmBhz.zip;2000;
469;ShapeFile da Região Metropolitana de Campinas divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Campinas;CemRmCam.zip;2000;
470;ShapeFile da Região Metropolitana de Carbonífera divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Carbonífera;CemRmCar.zip;2000;
471;ShapeFile da Região Metropolitana de Cuiritiba divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Cuiritiba;CemRmCur.zip;2000;
472;ShapeFile da Região Metropolitana de Distrito Federal e Entorno divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Distrito Federal e Entorno;CemRmDfe.zip;2000;
473;ShapeFile da Região Metropolitana de Florianópolis divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Florianópolis;CemRmFlo.zip;2000;
474;ShapeFile da Região Metropolitana de Fortaleza divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Fortaleza;CemRmFor.zip;2000;
475;ShapeFile da Região Metropolitana de Foz do Rio Itajaí divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Foz do Rio Itajaí;CemRmFri.zip;2000;
476;ShapeFile da Região Metropolitana de Goiânia divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Goiânia;CemRmGoi.zip;2000;
477;ShapeFile da Região Metropolitana de João Pessoa divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;João Pessoa;CemRmJps.zip;2000;
478;ShapeFile da Região Metropolitana de Londrina divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Londrina;CemRmLon.zip;2000;
479;ShapeFile da Região Metropolitana de Macapá divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Macapá;CemRmMpa.zip;2000;
480;ShapeFile da Região Metropolitana de Maceió divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Maceió;CemRmMce.zip;2000;
481;ShapeFile da Região Metropolitana de Maringá divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Maringá;CemRmMar.zip;2000;
482;ShapeFile da Região Metropolitana de Natal divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Natal;CemRmNat.zip;2000;
483;ShapeFile da Região Metropolitana de Norte-Nordeste Catarinense divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Norte-Nordeste Catarinense;CemRmNnc.zip;2000;
484;ShapeFile da Região Metropolitana de Petrolina e Juazeiro divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Petrolina e Juazeiro;CemRmPej.zip;2000;
485;ShapeFile da Região Metropolitana de Porto Alegre divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Porto Alegre;CemRmPoa.zip;2000;
486;ShapeFile da Região Metropolitana de Recife divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Recife;CemRmRec.zip;2000;
487;ShapeFile da Região Metropolitana de Rio de Janeiro divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Rio de Janeiro;CemRmRio.zip;2000;
488;ShapeFile da Região Metropolitana de Salvador divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Salvador;CemRmSsa.zip;2000;
489;ShapeFile da Região Metropolitana de São Luís divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;São Luís;CemRmSlu.zip;2000;
490;ShapeFile da Região Metropolitana de São Paulo divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;São Paulo;CemRmSao.zip;2000;
491;ShapeFile da Região Metropolitana de Teresina divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Teresina;CemRmTer.zip;2000;
492;ShapeFile da Região Metropolitana de Tubarão divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Tubarão;CemRmTub.zip;2000;
493;ShapeFile da Região Metropolitana de Vale do Aço divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Vale do Aço;CemRmVla.zip;2000;
494;ShapeFile da Região Metropolitana de Vitória divididas em Municípios - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Região metropolitanas divididas em Municípios  - ano 2000;;cartográfico;Vitória;CemRmVit.zip;2000;
495;Bancos de microdados da amostra do Censo Demográfico 1960;Demografia;IBGE;Censos Demográficos#Censo Demográfico 1960;;não cartográfico;Censo Demográfico de 1960#Nota técnica#Comparabilidade das informações disponíveis nos Censos (1960-2010) e PNADs (1976, 1985, 1995 e 2005);censo_1960.7z#517-Instru%C3%A7%C3%B5es_para_os_Censos_out_2013.pdf#830-wp.17.2014.pdf;1960;
496;Bancos de microdados da amostra do Censo Demográfico 1970;Demografia;IBGE;Censos Demográficos#Censo Demográfico 1970;;não cartográfico;Censo Demográfico de 1970#Nota técnica#Comparabilidade das informações disponíveis nos Censos (1960-2010) e PNADs (1976, 1985, 1995 e 2005);censo_1970.7z#517-Instru%C3%A7%C3%B5es_para_os_Censos_out_2013.pdf#830-wp.17.2014.pdf;1970;
497;Bancos de microdados da amostra do Censo Demográfico 1980;Demografia;IBGE;Censos Demográficos#Censo Demográfico 1980;;não cartográfico;Censo Demográfico de 1980#Nota técnica#Comparabilidade das informações disponíveis nos Censos (1960-2010) e PNADs (1976, 1985, 1995 e 2005);censo_1980.7z#517-Instru%C3%A7%C3%B5es_para_os_Censos_out_2013.pdf#830-wp.17.2014.pdf;1980;
498;Bancos de microdados da amostra do Censo Demográfico 1991;Demografia;IBGE;Censos Demográficos#Censo Demográfico 1991;;não cartográfico;Censo Demográfico de 1991#Nota técnica#Comparabilidade das informações disponíveis nos Censos (1960-2010) e PNADs (1976, 1985, 1995 e 2005);censo_1990.7z#517-Instru%C3%A7%C3%B5es_para_os_Censos_out_2013.pdf#830-wp.17.2014.pdf;1991;
499;Bancos de microdados da amostra do Censo Demográfico 2000;Demografia;IBGE;Censos Demográficos#Censo Demográfico 2000;;não cartográfico;Censo Demográfico de 2000#Nota técnica#Comparabilidade das informações disponíveis nos Censos (1960-2010) e PNADs (1976, 1985, 1995 e 2005);censo_2000.7z#517-Instru%C3%A7%C3%B5es_para_os_Censos_out_2013.pdf#830-wp.17.2014.pdf;2000;
500;Bancos de microdados da amostra do Censo Demográfico 2010;Demografia;IBGE;Censos Demográficos#Censo Demográfico 2010;;não cartográfico;Censo Demográfico de 2010#Nota técnica#Comparabilidade das informações disponíveis nos Censos (1960-2010) e PNADs (1976, 1985, 1995 e 2005);Censo_2010_2.7z#517-Instru%C3%A7%C3%B5es_para_os_Censos_out_2013.pdf#830-wp.17.2014.pdf;2010;
